Voter,Gender,Age,County
Jerome Hickey,male,46-55,Mountain Farm
Ella Policare,female,65+,Mountain Farm
Joanne Poteete,female,46-55,Mountain Farm
Margaret Torres,female,46-55,Mountain Farm
Jimmy Mattern,male,36-45,Mountain Farm
Theresa Perez,female,46-55,Mountain Farm
Dollie Bradshaw,female,36-45,Black
Marion Kirkpatrick,female,56-65,Mountain Farm
Debra Gonzales,female,36-45,Mountain Farm
Colleen Silva,female,46-55,Riverside
Jay Chipman,male,46-55,Mountain Farm
Leona Roll,female,46-55,Mountain Farm
Charles Hupper,male,65+,Mountain Farm
Robert Worley,male,56-65,Bailey
Tara Young,female,65+,Bailey
Charles Guzman,male,36-45,Bailey
Katherine Terry,female,65+,Mountain Farm
Edward Justis,male,65+,Riverside
Kristen Wendt,female,56-65,Mountain Farm
Denise Nicholson,female,65+,Mountain Farm
Cynthia Barredo,female,46-55,Mountain Farm
Ernesto Divine,male,26-35,Black
Nova Miller,female,36-45,Mountain Farm
Steven Wayne,male,56-65,Mountain Farm
Glenn Putman,male,46-55,Mountain Farm
Emmanuel Cole,male,65+,Mountain Farm
Robert Childers,male,26-35,Bailey
Hector Blake,male,36-45,Mountain Farm
Sharon Shumpert,female,56-65,Mountain Farm
Daniel Drewes,male,36-45,Black
Keisha Gahagan,female,36-45,Mountain Farm
Lelah Kingston,female,36-45,Mountain Farm
Rubin Rice,male,56-65,Mountain Farm
Daniel Hursey,male,36-45,Mountain Farm
Carol West,female,36-45,Mountain Farm
Jason Schneider,male,56-65,Mountain Farm
Delores Gillick,female,46-55,Mountain Farm
Brenda Aguirre,female,65+,Mountain Farm
Amelia Brown,female,56-65,Mountain Farm
Stella Stokes,female,46-55,Bailey
Calvin Davidson,male,65+,Mountain Farm
Faith James,female,56-65,Riverside
Alicia Murphy,female,36-45,Mountain Farm
Alfonso Lopez,male,46-55,Mountain Farm
Jeff Apodaca,male,65+,Black
Patricia Musgrove,female,56-65,Mountain Farm
Daniel Nesbitt,male,36-45,Black
Robert Dooling,male,46-55,Mountain Farm
Jasper Yamaguchi,male,46-55,Riverside
Joshua Wade,male,46-55,Mountain Farm
Jennifer Hall,female,46-55,Mountain Farm
Thomas Hickman,male,56-65,Mountain Farm
Fred Carolina,male,46-55,Mountain Farm
Jonathan Turner,male,46-55,Mountain Farm
Ella Rayo,female,36-45,Mountain Farm
Donna Mast,female,65+,Mountain Farm
Dennis Richardson,male,46-55,Mountain Farm
Andrew Branchaud,male,46-55,Black
Dean Reising,male,56-65,Mountain Farm
George Greene,male,56-65,Riverside
Tony Crom,male,46-55,Mountain Farm
Joshua Darby,male,46-55,Mountain Farm
Dean Charles,male,36-45,Mountain Farm
Anthony Chatman,male,46-55,Mountain Farm
Robert Surratt,male,46-55,Bailey
James Blubaugh,male,36-45,Mountain Farm
Steven Turner,male,65+,Mountain Farm
Margaret Stimpson,female,56-65,Mountain Farm
Diana Carlson,female,46-55,Mountain Farm
Thomas Malone,male,46-55,Black
Bruce Bowden,male,36-45,Black
Crystal Mason,female,46-55,Mountain Farm
Willie Williamson,female,56-65,Mountain Farm
David Grant,male,56-65,Bailey
Debra Hall,female,26-35,Mountain Farm
Richard Anderson,male,65+,Mountain Farm
Ethel Davis,female,26-35,Mountain Farm
Rita Bellerose,female,56-65,Mountain Farm
Curtis Long,male,36-45,Mountain Farm
Norene Bouley,female,46-55,Black
Mary Domina,female,36-45,Riverside
Linda Ruda,female,46-55,Mountain Farm
Richard Hampton,male,46-55,Mountain Farm
Rachel Heidler,female,56-65,Mountain Farm
Jacob Steeley,male,65+,Riverside
Pattie Mcneil,female,56-65,Mountain Farm
Darren Jewell,male,46-55,Mountain Farm
Marilyn Mateo,female,36-45,Mountain Farm
Theresa Arend,female,36-45,Mountain Farm
Maribeth Reutzel,female,46-55,Mountain Farm
Roy Klos,male,46-55,Black
Bobby Truong,male,65+,Mountain Farm
Miranda Sager,female,46-55,Mountain Farm
Larry Griffin,male,46-55,Mountain Farm
Larry Kling,male,46-55,Riverside
Raymond Smith,male,36-45,Mountain Farm
Emily Brown,female,36-45,Black
Dustin Kragt,male,46-55,Mountain Farm
Jeanette Lim,female,36-45,Riverside
Lee Hodes,female,36-45,Riverside
Barbara Thomas,female,46-55,Riverside
David Carpenter,male,56-65,Mountain Farm
Robert Kaltz,male,18-25,Mountain Farm
Donald Perkins,male,65+,Mountain Farm
Felipa Johnson,female,65+,Mountain Farm
Joseph Sweeney,male,46-55,Mountain Farm
Geraldine Silverman,female,56-65,Mountain Farm
Jennifer Spradling,female,56-65,Mountain Farm
Dustin Deperro,male,65+,Mountain Farm
Josephine Vicini,female,46-55,Bailey
Leann Osborn,female,46-55,Mountain Farm
William Fowler,male,36-45,Mountain Farm
Vera Moore,female,65+,Mountain Farm
Frank Iannone,male,56-65,Mountain Farm
Jacquelyn Terhune,female,36-45,Black
Zachary Hickey,male,65+,Riverside
Mildred Weeden,female,56-65,Black
Robert Solorio,male,18-25,Mountain Farm
Huong Collier,female,46-55,Mountain Farm
Jose Washington,male,65+,Mountain Farm
Margie Holden,female,36-45,Mountain Farm
Brian Destefano,male,46-55,Mountain Farm
Carolyn Polich,female,65+,Bailey
Dominick Burns,male,46-55,Mountain Farm
Earl Queja,male,65+,Mountain Farm
Paul Meskill,male,65+,Mountain Farm
Donna Brown,female,36-45,Mountain Farm
Imelda Steen,female,65+,Black
Patricia Barnes,female,56-65,Mountain Farm
Clarence Davis,male,46-55,Mountain Farm
Lonnie Colon,male,46-55,Black
Cynthia Adams,female,56-65,Mountain Farm
Leonard Marrero,male,65+,Mountain Farm
Betty Williams,female,56-65,Bailey
Michael Pigford,male,36-45,Mountain Farm
Allison Clayton,female,56-65,Mountain Farm
Greg Leal,male,46-55,Mountain Farm
Raymond Arendt,male,56-65,Mountain Farm
Wallace Dougherty,male,56-65,Riverside
Karen Gragg,female,46-55,Mountain Farm
Gloria Beck,female,36-45,Mountain Farm
Richard Wingate,male,46-55,Riverside
Mary Dufilho,female,46-55,Mountain Farm
Kimberly Lyons,female,36-45,Riverside
Jerry Richard,male,36-45,Mountain Farm
Matthew Jackson,male,46-55,Mountain Farm
James Hughes,male,46-55,Mountain Farm
Donald Paige,male,65+,Mountain Farm
Alex Davenport,male,56-65,Mountain Farm
Jody Harris,male,36-45,Mountain Farm
Steve Jackson,male,56-65,Bailey
Daniel Gaudet,male,56-65,Mountain Farm
Bertha Brandenburg,female,46-55,Mountain Farm
Cora Cordray,female,18-25,Mountain Farm
Jeanne Bickford,female,65+,Riverside
Christopher Ruiz,male,46-55,Mountain Farm
Patricia Farmer,female,36-45,Mountain Farm
Brian Salvatierra,male,65+,Mountain Farm
Darrell Newyear,male,56-65,Mountain Farm
Cathy Bailey,female,26-35,Mountain Farm
Scott Dunlap,male,56-65,Mountain Farm
Cecil Creed,male,36-45,Mountain Farm
Karen Andrews,female,46-55,Mountain Farm
Philip Phillips,male,65+,Mountain Farm
Thomas Wai,male,65+,Mountain Farm
David Read,male,36-45,Riverside
Augustine Verdejo,male,46-55,Mountain Farm
Johnny Moran,male,36-45,Mountain Farm
Edward Todd,male,56-65,Mountain Farm
Joe Mendoza,male,46-55,Mountain Farm
Debora Glueck,female,56-65,Mountain Farm
Daniel Greenan,male,36-45,Riverside
Sandra Neubauer,female,18-25,Mountain Farm
Nolan Minge,male,65+,Mountain Farm
Stephan Williams,male,56-65,Mountain Farm
Darrell Carpenter,male,36-45,Mountain Farm
Theresa Malady,female,65+,Mountain Farm
Virginia Kenner,female,36-45,Mountain Farm
Margaret Gibbs,female,65+,Black
Ryan Lansberry,male,46-55,Mountain Farm
Lynn Mchale,female,65+,Mountain Farm
Melissa Johnson,female,46-55,Mountain Farm
Kyle Bowyer,male,56-65,Mountain Farm
Teresa Mcglothian,female,46-55,Mountain Farm
Teresa Sprague,female,65+,Mountain Farm
Diane Rush,female,56-65,Mountain Farm
Joseph Ott,male,56-65,Mountain Farm
Daniel Garcia,male,56-65,Mountain Farm
Elisha Parker,female,46-55,Mountain Farm
Rita Breece,female,46-55,Bailey
William Bradley,male,46-55,Mountain Farm
Heather Kipling,female,46-55,Riverside
Dennis Barksdale,male,56-65,Mountain Farm
Joseph Miller,male,36-45,Mountain Farm
Teresa Doty,female,46-55,Mountain Farm
Margret Carlyon,female,46-55,Mountain Farm
Mamie Mcmahan,female,46-55,Mountain Farm
Janice Ewing,female,56-65,Mountain Farm
Stacie Hansen,female,46-55,Mountain Farm
James Murray,male,46-55,Bailey
Elizabeth Robinson,female,46-55,Riverside
Steven Curiel,male,46-55,Mountain Farm
Michael Lee,male,36-45,Mountain Farm
Shayna Muzquiz,female,65+,Mountain Farm
Robert Palmer,male,46-55,Mountain Farm
Geri Scoggins,female,46-55,Mountain Farm
Cassandra Herbert,female,56-65,Mountain Farm
Adrian Hamilton,male,65+,Mountain Farm
Marion Pawlak,female,26-35,Mountain Farm
Melissa Baggett,female,36-45,Mountain Farm
Mary Suhr,female,46-55,Riverside
Madeleine Johnson,female,36-45,Mountain Farm
Erma Cote,female,46-55,Mountain Farm
Samantha Rodrigues,female,36-45,Mountain Farm
Franklin Ortiz,male,36-45,Black
Cathy Gillett,female,46-55,Mountain Farm
Sandra White,female,46-55,Riverside
Joshua Beverly,male,26-35,Mountain Farm
Mario Smith,male,46-55,Mountain Farm
Tara Watkins,female,36-45,Mountain Farm
Louis Lafrance,male,46-55,Mountain Farm
Ollie Ruderman,female,65+,Mountain Farm
Shawna Whitman,female,46-55,Mountain Farm
Rita Scott,female,46-55,Mountain Farm
Linda Mcguire,female,18-25,Riverside
Joe Mullins,male,36-45,Mountain Farm
William Mapp,male,65+,Riverside
Spencer Huffman,male,26-35,Riverside
George Turner,male,56-65,Mountain Farm
Paul Addleman,male,65+,Mountain Farm
William Moore,male,46-55,Mountain Farm
Robert Shiroma,male,46-55,Mountain Farm
Eric Juarez,male,36-45,Mountain Farm
Roger Gould,male,36-45,Mountain Farm
Michael Knowles,male,65+,Mountain Farm
Jean Olds,female,46-55,Mountain Farm
Kristine Baber,female,46-55,Black
John Blaise,male,65+,Mountain Farm
Gary Marrero,male,56-65,Mountain Farm
Toby Phillips,male,46-55,Mountain Farm
Chad Busch,male,46-55,Black
Phyllis Hard,female,26-35,Mountain Farm
Gloria Causey,female,46-55,Mountain Farm
Shirley Hamrick,female,46-55,Mountain Farm
Michael Swartz,male,56-65,Mountain Farm
Shannon Whitaker,female,36-45,Mountain Farm
Steven Barrow,male,18-25,Mountain Farm
Hae Barrett,female,46-55,Mountain Farm
Ian Green,male,56-65,Mountain Farm
David Wallace,male,46-55,Mountain Farm
Michael Fisk,male,46-55,Mountain Farm
Doris Chewning,female,36-45,Black
Sharon Carl,female,46-55,Mountain Farm
Charles Beasley,male,46-55,Mountain Farm
Ruth Davis,female,56-65,Mountain Farm
Virginia Herbert,female,65+,Mountain Farm
Connie Lowery,female,36-45,Mountain Farm
Amy Davis,female,36-45,Mountain Farm
Alesia Countryman,female,56-65,Mountain Farm
Julie Hyland,female,56-65,Mountain Farm
Justin Christenson,male,46-55,Mountain Farm
Elizabeth Murray,female,46-55,Mountain Farm
Alan Mancuso,male,46-55,Mountain Farm
Carrie Peterson,female,46-55,Mountain Farm
Thomas Martinez,male,65+,Bailey
Mary Pearson,female,46-55,Black
William Nichelson,male,36-45,Mountain Farm
Lloyd Resner,male,36-45,Mountain Farm
Jason Langdon,male,36-45,Mountain Farm
Jaime Wynn,male,36-45,Mountain Farm
Jamie Richardson,female,46-55,Mountain Farm
Georgette Meador,female,46-55,Mountain Farm
Timothy Clayton,male,46-55,Mountain Farm
Frankie Hadley,female,56-65,Mountain Farm
Eric Martin,male,46-55,Mountain Farm
Rose Williams,female,56-65,Mountain Farm
Alison Ellis,female,46-55,Black
Scot Depue,male,46-55,Mountain Farm
Leslie Kettner,male,56-65,Mountain Farm
Cammie Gunn,female,65+,Mountain Farm
Brian Thompson,male,56-65,Mountain Farm
Emilia Perine,female,36-45,Mountain Farm
Michael Shimizu,male,46-55,Mountain Farm
Matilda Barker,female,36-45,Mountain Farm
Fred Bradley,male,56-65,Bailey
Lewis Daigle,male,56-65,Mountain Farm
Lauren Middleton,female,36-45,Riverside
Theodore Lindstrom,male,36-45,Mountain Farm
Michael Smith,male,46-55,Mountain Farm
Michael White,male,56-65,Mountain Farm
Julianne Dickerson,female,18-25,Mountain Farm
Jack Smith,male,46-55,Black
Shawn Stelmack,male,46-55,Mountain Farm
James Utter,male,36-45,Mountain Farm
David Loughner,male,46-55,Mountain Farm
Hiram Hanna,male,46-55,Mountain Farm
Bridget Headrick,female,56-65,Mountain Farm
David Brown,male,36-45,Mountain Farm
Frank Wise,male,65+,Mountain Farm
Thomas Adolphson,male,36-45,Mountain Farm
Kimberly Noto,female,56-65,Mountain Farm
Donald Jones,male,46-55,Riverside
June Houston,female,56-65,Bailey
Bruce Wyatt,male,65+,Mountain Farm
Willie Hart,male,46-55,Riverside
Catherine Liles,female,36-45,Mountain Farm
Keisha Houseworth,female,46-55,Mountain Farm
Dean Hernandez,male,65+,Riverside
Patricia Mckinsey,female,46-55,Riverside
Willis Villar,male,56-65,Mountain Farm
Amber Palmer,female,56-65,Mountain Farm
Francis Hack,male,46-55,Mountain Farm
Jan Nelson,female,46-55,Mountain Farm
Beulah Barnett,female,36-45,Mountain Farm
Mandy Gorenberg,female,56-65,Black
Gwendolyn Buchanan,female,36-45,Mountain Farm
Kent Brown,male,36-45,Mountain Farm
Ernest Titcomb,male,56-65,Mountain Farm
Andrea Anderson,female,46-55,Mountain Farm
Micheal Daniels,male,46-55,Mountain Farm
Randy Jacobson,male,46-55,Mountain Farm
Geraldine Dejardin,female,46-55,Black
Miriam Parrott,female,65+,Mountain Farm
Donald Cooley,male,36-45,Mountain Farm
Sarah Garcia,female,56-65,Mountain Farm
Michael Erickson,male,56-65,Mountain Farm
Robin Grier,female,56-65,Mountain Farm
Roxanna Price,female,56-65,Riverside
Jane Simmons,female,26-35,Mountain Farm
Phillip Cohen,male,36-45,Mountain Farm
Frances Mendez,female,36-45,Mountain Farm
Maria Massey,female,56-65,Mountain Farm
Margie Johnston,female,46-55,Riverside
Samuel Garner,male,46-55,Mountain Farm
Heidi Henderson,female,26-35,Mountain Farm
Leanne Booth,female,46-55,Mountain Farm
Louise Morey,female,46-55,Mountain Farm
Kurt Smith,male,46-55,Riverside
Greg Sandoval,male,56-65,Mountain Farm
Robbie Jones,male,56-65,Mountain Farm
Aaron Campbell,male,65+,Mountain Farm
Carl Acosta,male,46-55,Mountain Farm
George Lee,male,56-65,Mountain Farm
Robert Watson,male,46-55,Mountain Farm
Angela Swain,female,36-45,Mountain Farm
Susan Huddleston,female,65+,Riverside
Jesus Skora,male,65+,Mountain Farm
Jacqueline Light,female,56-65,Mountain Farm
Beverly Martin,female,65+,Mountain Farm
Pauline Moore,female,36-45,Riverside
Katherine Greenler,female,65+,Riverside
Ryan Arvan,male,46-55,Black
Emma Henry,female,36-45,Mountain Farm
Robert Will,male,36-45,Black
Robert Moland,male,46-55,Black
Matthew Alfred,male,56-65,Bailey
Ronald Davis,male,65+,Mountain Farm
Robert Cummings,male,65+,Mountain Farm
James Staubin,male,65+,Mountain Farm
David Valenzuela,male,36-45,Mountain Farm
Brian Banda,male,65+,Black
Allison Fisher,female,56-65,Mountain Farm
Jennifer Kratky,female,65+,Mountain Farm
David Muzii,male,46-55,Riverside
Pedro Larson,male,56-65,Mountain Farm
Annette Smith,female,26-35,Mountain Farm
Barbara Kampa,female,36-45,Mountain Farm
Ada Warr,female,46-55,Mountain Farm
Richard Parker,male,65+,Mountain Farm
Patricia Bailey,female,56-65,Mountain Farm
Mary Grett,female,56-65,Mountain Farm
Carrie Smith,female,56-65,Mountain Farm
Craig Nero,male,36-45,Riverside
Gina Ozuna,female,46-55,Mountain Farm
Victor Racine,male,36-45,Mountain Farm
Kathleen Williams,female,18-25,Mountain Farm
Marsha Phillis,female,36-45,Mountain Farm
Richard Powell,male,36-45,Mountain Farm
Dan Ankrom,male,46-55,Mountain Farm
Lela Whitaker,female,56-65,Mountain Farm
Randy Ferreira,male,56-65,Mountain Farm
David Flaten,male,36-45,Mountain Farm
Lashonda Bullard,female,65+,Mountain Farm
Corey Vanwingerden,male,36-45,Mountain Farm
Doris Otoole,female,36-45,Mountain Farm
Crystal Markle,female,65+,Mountain Farm
Jeanette Rowe,female,65+,Mountain Farm
Cindy Shaw,female,36-45,Riverside
Cynthia Black,female,56-65,Riverside
Anna Barron,female,46-55,Mountain Farm
James Carter,male,36-45,Mountain Farm
Ralph Person,male,56-65,Riverside
Deirdre Kimball,female,46-55,Black
Anita Mersch,female,36-45,Mountain Farm
Joel Lewis,male,65+,Riverside
Danielle Prater,female,46-55,Mountain Farm
Nicholas Noriega,male,65+,Mountain Farm
Leticia Turner,female,65+,Mountain Farm
Rebecca Isom,female,46-55,Mountain Farm
Josie Crane,female,56-65,Mountain Farm
Norman Ortiz,male,46-55,Mountain Farm
Kimberly Mckelvy,female,36-45,Mountain Farm
Jorge Luthy,male,65+,Riverside
Shirley Wisse,female,65+,Mountain Farm
Patrica Eagan,female,56-65,Mountain Farm
Hilda Lutz,female,26-35,Mountain Farm
Jessica Patton,female,46-55,Mountain Farm
Keith Ellison,male,46-55,Mountain Farm
Blanca Weissman,female,46-55,Mountain Farm
Mark Dorris,male,46-55,Mountain Farm
Mary Baudoin,female,56-65,Mountain Farm
Michael Cuadrado,male,36-45,Mountain Farm
Billy Lamanna,male,26-35,Black
Amber Morris,female,65+,Mountain Farm
Fred Hensler,male,46-55,Bailey
Karen Neally,female,46-55,Mountain Farm
Christine Berger,female,36-45,Mountain Farm
Shirley Taylor,female,26-35,Mountain Farm
Joseph Todd,male,46-55,Riverside
Lucinda Belton,female,36-45,Mountain Farm
Crystal Mccombs,female,46-55,Mountain Farm
Gonzalo Garrison,male,65+,Mountain Farm
Barbara Jackson,female,65+,Mountain Farm
Kimberly Mortensen,female,46-55,Mountain Farm
Karin Brennan,female,56-65,Mountain Farm
Daisy Roller,female,56-65,Mountain Farm
Patricia Edwards,female,56-65,Mountain Farm
Tom Marguez,male,46-55,Mountain Farm
Albert Seta,male,36-45,Mountain Farm
Elina Ridenour,female,46-55,Riverside
Charles Ohara,male,65+,Mountain Farm
Alexandra Vuong,female,36-45,Riverside
Charles Adamczak,male,56-65,Black
David Boyd,male,36-45,Mountain Farm
Norman Lourentzos,female,56-65,Mountain Farm
Darren Barraza,male,46-55,Mountain Farm
Albert Davis,male,46-55,Mountain Farm
Mary Bennett,female,36-45,Mountain Farm
Walter Renn,male,36-45,Mountain Farm
Tiffany Moore,female,56-65,Mountain Farm
Michael Chambley,male,36-45,Mountain Farm
David Poucher,male,56-65,Riverside
Susan Southern,female,46-55,Mountain Farm
Frances Cornett,female,56-65,Mountain Farm
Jacqueline Parra,female,36-45,Riverside
Christopher Moran,male,36-45,Mountain Farm
David Flahive,male,65+,Mountain Farm
Elijah Arnold,male,26-35,Riverside
Alfredo Simpson,male,46-55,Black
Christian Miles,male,65+,Mountain Farm
James Lindsey,male,46-55,Mountain Farm
Linda Hobson,female,46-55,Mountain Farm
David Liles,male,36-45,Mountain Farm
Amy Martinez,female,46-55,Mountain Farm
Paulette Willmann,female,46-55,Bailey
Sheila Castellucci,female,46-55,Riverside
Edward Bess,male,46-55,Mountain Farm
Andrea Horne,female,56-65,Mountain Farm
Reinaldo Rose,male,56-65,Mountain Farm
Anastasia Amelung,female,46-55,Mountain Farm
Charlotte Zemlicka,female,36-45,Mountain Farm
Jane Tallman,female,46-55,Mountain Farm
David Bonn,male,46-55,Mountain Farm
Shavonne Stoltzfus,female,46-55,Mountain Farm
Rafael Chambers,male,46-55,Mountain Farm
Mary Johnson,female,65+,Mountain Farm
Robert Saine,male,46-55,Black
Billy Kutzner,male,46-55,Mountain Farm
Justin Callahan,male,46-55,Mountain Farm
Toby Christenberry,male,65+,Mountain Farm
Jeffrey Smith,male,46-55,Mountain Farm
Darlene Schultz,female,56-65,Mountain Farm
Charles Vogt,male,46-55,Mountain Farm
Nina Caruso,female,46-55,Bailey
Connie Gibson,female,56-65,Riverside
Fred Desbiens,male,65+,Mountain Farm
Mark Estes,male,46-55,Mountain Farm
Patrick Clark,male,46-55,Mountain Farm
Mary Cunningham,female,46-55,Mountain Farm
Sue Rybowiak,female,65+,Black
Naomi Roy,female,56-65,Mountain Farm
Ella Muhammad,female,36-45,Riverside
Franklin Moody,male,56-65,Mountain Farm
Fred Taylor,male,65+,Mountain Farm
Eric Keith,male,56-65,Mountain Farm
Debra Mastrangelo,female,46-55,Mountain Farm
Gabrielle Martinez,female,46-55,Mountain Farm
Angela Behn,female,46-55,Mountain Farm
Joyce Murphy,female,46-55,Mountain Farm
Luz Coram,female,56-65,Mountain Farm
Jana Clark,female,36-45,Mountain Farm
Lisa Strout,female,36-45,Mountain Farm
Elena Bowers,female,46-55,Mountain Farm
George Giddins,male,65+,Mountain Farm
Hilda Douglas,female,36-45,Mountain Farm
Sonja Balensiefen,female,46-55,Mountain Farm
Douglas George,male,36-45,Mountain Farm
Matthew Vereen,male,56-65,Black
Teresa Rutland,female,46-55,Black
Joan Nugent,female,36-45,Mountain Farm
Tamara Mann,female,36-45,Mountain Farm
Sammie Barreto,male,36-45,Mountain Farm
Brenda Welke,female,46-55,Mountain Farm
Stanley Starnes,male,36-45,Mountain Farm
Thomas Ketron,male,46-55,Mountain Farm
Megan Myers,female,65+,Mountain Farm
Paulina Collins,female,36-45,Mountain Farm
Jonathan Jaimes,male,46-55,Black
David Labriola,male,56-65,Mountain Farm
David Dipietro,male,46-55,Mountain Farm
Sandra Smith,female,46-55,Mountain Farm
Louise Stoehr,female,36-45,Mountain Farm
Ralph Guynn,male,46-55,Mountain Farm
Cleveland Rodeheaver,male,46-55,Mountain Farm
Tina Shinault,female,56-65,Mountain Farm
Mary Young,female,46-55,Mountain Farm
Otis Wilkins,male,36-45,Mountain Farm
Maria Lopez,female,56-65,Bailey
Micheal Ridge,male,46-55,Black
George King,male,46-55,Bailey
Jessica Aguinaga,female,46-55,Bailey
John Walker,male,36-45,Mountain Farm
Wanda Gross,female,36-45,Mountain Farm
Williemae Bailey,female,36-45,Mountain Farm
Kathleen Sheeran,female,56-65,Mountain Farm
Minnie Gregory,female,36-45,Mountain Farm
Deon Noy,male,56-65,Mountain Farm
Dorothy Ha,female,65+,Mountain Farm
Levi Garrison,male,36-45,Mountain Farm
Ross Mastin,male,36-45,Mountain Farm
Elijah Halloran,male,56-65,Mountain Farm
John Hoffmann,male,46-55,Black
Paul Arkell,male,46-55,Black
Timothy Smith,male,65+,Mountain Farm
Debra Johnson,female,46-55,Mountain Farm
Keith Westmoreland,male,36-45,Riverside
Dawn Hagar,female,56-65,Mountain Farm
John Glenn,male,36-45,Mountain Farm
Leslie Smith,male,36-45,Mountain Farm
Alexander Moose,male,36-45,Mountain Farm
Kimberly Frost,female,56-65,Mountain Farm
Steven Skalicky,male,36-45,Bailey
Leah Smith,female,46-55,Mountain Farm
Wayne Avila,male,46-55,Black
William Jordan,male,56-65,Riverside
Gary Maleski,male,65+,Mountain Farm
Juana Gambill,female,46-55,Mountain Farm
Carla Sprague,female,56-65,Black
Rafael Ross,male,56-65,Mountain Farm
Kenneth King,male,36-45,Black
George Dickerson,male,65+,Mountain Farm
David Fewell,male,18-25,Mountain Farm
Kevin Boone,male,46-55,Mountain Farm
Erin Queal,female,46-55,Mountain Farm
Amy Gaul,female,36-45,Mountain Farm
David Welch,male,56-65,Mountain Farm
Henry Tesoriero,male,65+,Black
Mario Dudley,male,46-55,Mountain Farm
Robert Mccarthy,male,56-65,Bailey
Hector Brown,male,46-55,Mountain Farm
Minnie Birch,female,36-45,Mountain Farm
Dave Bartley,male,36-45,Mountain Farm
Maria Roszel,female,46-55,Black
Jackson Kapinos,male,46-55,Mountain Farm
Robert Harris,male,56-65,Mountain Farm
Harry Mizutani,male,65+,Mountain Farm
Cathy Baker,female,65+,Mountain Farm
Marlene Rodriguez,female,46-55,Mountain Farm
Lynda Summerfield,female,56-65,Mountain Farm
Doris Berry,female,46-55,Riverside
Francis Shaw,male,65+,Mountain Farm
Jodi Burton,female,46-55,Mountain Farm
Jason Newman,male,46-55,Mountain Farm
Cathy Campbell,female,65+,Mountain Farm
Neal Garrett,male,26-35,Mountain Farm
William Garcia,male,46-55,Mountain Farm
Tiffany Lewter,female,36-45,Mountain Farm
Joseph Sommer,male,36-45,Mountain Farm
Daniel Williams,male,56-65,Mountain Farm
Christopher Jimenez,male,65+,Mountain Farm
Karen Lerma,female,56-65,Mountain Farm
Sue Kohler,female,46-55,Mountain Farm
Ronald Vernon,male,65+,Mountain Farm
Eric Radigan,male,56-65,Mountain Farm
Michael Barron,male,46-55,Black
Christopher Atkins,male,56-65,Mountain Farm
Timothy Perez,male,46-55,Mountain Farm
Agatha Wells,female,36-45,Mountain Farm
Mark Jacobs,male,65+,Bailey
Sherman Levin,male,56-65,Mountain Farm
Mark Testa,male,36-45,Mountain Farm
James Stuer,male,46-55,Mountain Farm
Ray Harris,male,36-45,Mountain Farm
Henry Mcvey,male,56-65,Black
Kasie Orms,female,46-55,Mountain Farm
Shirley Thompson,female,65+,Mountain Farm
Suzanne Hutto,female,65+,Mountain Farm
Michael Garcia,male,46-55,Mountain Farm
Marc Goodman,male,65+,Mountain Farm
Mark Perry,male,56-65,Mountain Farm
Johnny Sullivan,male,56-65,Black
Helen Weaver,female,46-55,Mountain Farm
Christopher Burchett,male,46-55,Mountain Farm
Wendy Ramos,female,46-55,Mountain Farm
Melissa Barrows,female,36-45,Mountain Farm
Anthony Lowery,male,56-65,Mountain Farm
Elizabeth Dupont,female,36-45,Mountain Farm
Robert Thomas,male,56-65,Mountain Farm
Edward Craig,male,46-55,Mountain Farm
Deena Rosselle,female,46-55,Mountain Farm
Teressa Corning,female,65+,Black
Jose Wood,male,36-45,Mountain Farm
Linda Fowler,female,65+,Mountain Farm
Marco Blevins,male,65+,Mountain Farm
Ellen Hill,female,65+,Mountain Farm
Mary Bennett,female,36-45,Mountain Farm
Beverly Gonzalez,female,46-55,Mountain Farm
Jacqueline Coffey,female,56-65,Mountain Farm
Leon Padgett,male,36-45,Mountain Farm
Sara Martinez,female,46-55,Mountain Farm
Craig Swinford,male,46-55,Mountain Farm
Jennifer Letarte,female,65+,Mountain Farm
Matthew Ruble,male,46-55,Mountain Farm
Lincoln Betzer,male,46-55,Black
Douglas Fowler,male,46-55,Mountain Farm
Stella Slowe,female,65+,Mountain Farm
David Greene,male,65+,Mountain Farm
Thomas Mcbroom,male,46-55,Mountain Farm
Dennis Batista,male,36-45,Bailey
James Kobayashi,male,46-55,Black
Daniel Waibel,male,36-45,Mountain Farm
Victoria Ring,female,46-55,Mountain Farm
Emilie Wolfram,female,46-55,Mountain Farm
Raymond Snow,male,56-65,Black
Clinton Hamilton,male,36-45,Mountain Farm
Brandon Cookerly,male,36-45,Mountain Farm
Machelle Harrold,female,65+,Mountain Farm
Kevin Simmons,male,56-65,Mountain Farm
Felicia Fauntleroy,female,36-45,Mountain Farm
Sierra Johnson,female,36-45,Mountain Farm
Chad Sims,male,36-45,Riverside
Steve Glenn,male,46-55,Mountain Farm
James Owens,male,46-55,Mountain Farm
Mary Hale,female,46-55,Mountain Farm
Barbara Messer,female,36-45,Riverside
Jonathan Richmond,male,36-45,Mountain Farm
Otis Pickens,male,36-45,Mountain Farm
Lucille Jolly,female,46-55,Mountain Farm
Dustin Finney,male,56-65,Mountain Farm
Cliff Miller,male,56-65,Black
Patricia Mcclure,female,46-55,Mountain Farm
Luanne Guthrie,female,46-55,Mountain Farm
James Hermann,male,56-65,Mountain Farm
Dan Gil,male,46-55,Mountain Farm
